Date,DIFF,TRFEE,MKTCP,TOTBC,MWNUS,BCDDY,BCDDM,BCDDE,TVTVR,NETDF,MIOPM,MWNTD,MWTRV,AVBLS,BLCHS,ATRCT,MIREV,HRATE,CPTRA,CPTRV,TRVOU,TOUTV,ETRVU,ETRAV,NTRBL,NADDU,NTREP,NTRAT,NTRAN,MKPRU
2009-03-03,1.0,0.0,0.0,310850.0,2.0,0.0,0.0,1606.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000214909607509,0.0,0.0,0.0,5.2692885807399995e-06,0.0,1325.0,0.0,5700.0,0.0,400.0,1.0,107.0,108.0,6288.0,108.0,0.0
2009-03-04,1.0,0.0,0.0,316150.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205723744518,0.0,0.0,0.0,5.2692885807399995e-06,0.0,0.0,0.0,5300.0,0.0,0.0,1.0,106.0,106.0,6394.0,106.0,0.0
2009-03-05,1.0,0.0,0.0,321450.0,2.0,0.0,0.0,5182.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000233074404159,0.0,0.0,0.0,5.2692885807399995e-06,0.0,441.545241725,0.0,6550.0,0.0,1200.0,1.0,108.0,108.0,6502.0,108.0,0.0
2009-03-06,1.0,0.0,0.0,327350.0,2.0,0.0,0.0,929.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000213566472975,0.0,0.0,0.0,5.8658118163e-06,0.0,1475.0,0.0,6300.0,0.0,400.0,1.0,119.0,119.0,6621.0,119.0,0.0
2009-03-07,1.0,0.0,0.0,332900.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205967877362,0.0,0.0,0.0,5.5178399288899995e-06,0.0,0.0,0.0,5550.0,0.0,0.0,1.0,111.0,111.0,6732.0,111.0,0.0
2009-03-08,1.0,0.0,0.0,338500.0,2.0,0.0,0.0,5562.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000233037131173,0.0,0.0,0.0,5.56755019852e-06,0.0,361.290322581,0.0,7150.0,0.0,1550.0,1.0,115.0,115.0,6847.0,115.0,0.0
2009-03-09,1.0,0.0,0.0,344150.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205858618812,0.0,0.0,0.0,5.617260468149999e-06,0.0,0.0,0.0,5650.0,0.0,0.0,1.0,113.0,113.0,6960.0,113.0,0.0
2009-03-10,1.0,0.0,0.0,349400.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205812000093,0.0,0.0,0.0,5.21957831111e-06,0.0,0.0,0.0,5250.0,0.0,0.0,1.0,105.0,105.0,7065.0,105.0,0.0
2009-03-11,1.0,0.0,0.0,354800.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.00020593184012,0.0,0.0,0.0,5.36870912e-06,0.0,0.0,0.0,5400.0,0.0,0.0,1.0,108.0,108.0,7173.0,108.0,0.0
2009-03-12,1.0,0.0,0.0,360700.0,2.0,0.0,0.0,546.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000209331512451,0.0,0.0,0.0,5.8658118163e-06,0.0,3933.33333333,0.0,6050.0,0.0,150.0,1.0,119.0,119.0,7292.0,119.0,0.0
2009-03-13,1.0,0.0,0.0,366400.0,2.0,0.0,0.0,2757.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000218659116511,0.0,0.0,0.0,5.66697073778e-06,0.0,760.0,0.0,6450.0,0.0,750.0,1.0,115.0,115.0,7407.0,115.0,0.0
2009-03-14,1.0,0.0,0.0,372200.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205936103032,0.0,0.0,0.0,5.76639127704e-06,0.0,0.0,0.0,5800.0,0.0,0.0,1.0,116.0,116.0,7523.0,116.0,0.0
2009-03-15,1.0,0.0,0.0,377750.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205787452492,0.0,0.0,0.0,5.5178399288899995e-06,0.0,0.0,0.0,5550.0,0.0,0.0,1.0,111.0,111.0,7634.0,111.0,0.0
2009-03-16,1.0,0.0,0.0,384250.0,2.0,0.0,0.0,19202.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000246400099534,0.0,0.0,0.0,6.46233505185e-06,0.0,270.833333333,0.0,8900.0,0.0,2400.0,1.0,131.0,131.0,7765.0,131.0,0.0
2009-03-17,1.0,0.0,0.0,390000.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205952188243,0.0,0.0,0.0,5.71668100741e-06,0.0,0.0,0.0,5750.0,0.0,0.0,1.0,115.0,115.0,7880.0,115.0,0.0
2009-03-18,1.0,0.0,0.0,395500.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205950303511,0.0,0.0,0.0,5.46812965926e-06,0.0,0.0,0.0,5500.0,0.0,0.0,1.0,110.0,110.0,7990.0,110.0,0.0
2009-03-19,1.0,0.0,0.0,401600.0,2.0,0.0,0.0,2772.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000219071497683,0.0,0.0,0.0,6.06465289481e-06,0.0,871.428571429,0.0,6800.0,0.0,700.0,1.0,123.0,124.0,8114.0,124.0,0.0
2009-03-20,1.0,0.0,0.0,407500.0,2.0,0.0,0.0,1518.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000217195284569,0.0,0.0,0.0,5.8658118163e-06,0.0,983.333333333,0.0,6500.0,0.0,600.0,1.0,119.0,119.0,8233.0,119.0,0.0
2009-03-21,1.0,0.0,0.0,411350.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205882183917,0.0,0.0,0.0,3.82769076148e-06,0.0,0.0,0.0,3850.0,0.0,0.0,1.0,77.0,77.0,8310.0,77.0,0.0
2009-03-22,1.0,0.0,0.0,416100.0,2.0,0.0,0.0,4032.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000219335054096,0.0,0.0,0.0,4.722475614810001e-06,0.0,863.636363636,0.0,5300.0,0.0,550.0,1.0,96.0,97.0,8407.0,97.0,0.0
2009-03-23,1.0,0.0,0.0,422700.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205885280262,0.0,0.0,0.0,6.56175559111e-06,0.0,0.0,0.0,6600.0,0.0,0.0,1.0,132.0,132.0,8539.0,132.0,0.0
2009-03-24,1.0,0.0,0.0,427950.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205975487119,0.0,0.0,0.0,5.21957831111e-06,0.0,0.0,0.0,5250.0,0.0,0.0,1.0,105.0,105.0,8644.0,105.0,0.0
2009-03-25,1.0,0.0,0.0,433750.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205796340416,0.0,0.0,0.0,5.76639127704e-06,0.0,0.0,0.0,5800.0,0.0,0.0,1.0,116.0,116.0,8760.0,116.0,0.0
2009-03-26,1.0,0.0,0.0,439400.0,2.0,0.0,0.0,5792.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000233236667329,0.0,0.0,0.0,5.617260468149999e-06,0.0,403.571428571,0.0,7050.0,0.0,1400.0,1.0,114.0,114.0,8874.0,114.0,0.0
2009-03-27,1.0,0.0,0.0,444900.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205958973278,0.0,0.0,0.0,5.46812965926e-06,0.0,0.0,0.0,5500.0,0.0,0.0,1.0,110.0,110.0,8984.0,110.0,0.0
2009-03-28,1.0,0.0,0.0,450850.0,2.0,0.0,0.0,4738.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000225283518559,0.0,0.0,0.0,5.91552208593e-06,0.0,595.0,0.0,6950.0,0.0,1000.0,1.0,120.0,122.0,9106.0,122.0,0.0
2009-03-29,1.0,0.0,0.0,456450.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205959592547,0.0,0.0,0.0,5.56755019852e-06,0.0,0.0,0.0,5600.0,0.0,0.0,1.0,112.0,112.0,9218.0,112.0,0.0
2009-03-30,1.0,0.0,0.0,462700.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205871582031,0.0,0.0,0.0,6.2137837036999994e-06,0.0,0.0,0.0,6250.0,0.0,0.0,1.0,125.0,125.0,9343.0,125.0,0.0
2009-03-31,1.0,0.0,0.0,468350.0,2.0,0.0,0.0,5369.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000237093562573,0.0,0.0,0.0,5.617260468149999e-06,0.0,353.125,0.0,7250.0,0.0,1600.0,1.0,114.0,114.0,9457.0,114.0,0.0
2009-04-01,1.0,0.0,0.0,473700.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205877785371,0.0,0.0,0.0,5.318998850369999e-06,0.0,0.0,0.0,5350.0,0.0,0.0,1.0,107.0,107.0,9564.0,107.0,0.0
2009-04-02,1.0,0.0,0.0,479700.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205874443054,0.0,0.0,0.0,5.96523235556e-06,0.0,0.0,0.0,6000.0,0.0,0.0,1.0,120.0,120.0,9684.0,120.0,0.0
2009-04-03,1.0,0.0,0.0,485350.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205951454365,0.0,0.0,0.0,5.617260468149999e-06,0.0,0.0,0.0,5650.0,0.0,0.0,1.0,113.0,113.0,9797.0,113.0,0.0
2009-04-04,1.0,0.0,0.0,491000.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205748904068,0.0,0.0,0.0,5.617260468149999e-06,0.0,0.0,0.0,5650.0,0.0,0.0,1.0,113.0,113.0,9910.0,113.0,0.0
