,MKPRU
3058,1899.08
3060,2052.9
3062,2090.66
3064,2379.19
3065,2387.2
3066,2211.97
3069,2275.93
3071,2285.93
3073,2446.14
3075,2516.17
3077,2883.31
3078,2664.92
3079,2792.99
3081,2845.37
3082,2961.82
3083,2657.67
3085,2447.04
3086,2442.48
3087,2464.95
3089,2507.38
3092,2671.04
3093,2727.28
3094,2710.41
3095,2589.16
3096,2512.36
3097,2436.45
3098,2517.9
