,MKPRU
1539,71.5
1540,63.0
1541,70.1
1542,73.88798
1543,78.0
1544,88.9
1545,93.56701
1546,89.05
1550,108.73
1551,138.79
1552,131.99899
1553,143.8
1555,160.0997
1556,184.0
1560,76.488
1563,91.0
1565,85.59999
1566,96.5
1568,123.86
1571,136.08098999999999
1572,153.20019
1574,135.601
1575,128.00001
1576,135.98998999999998
1578,139.109
1579,124.2998
1580,105.00003000000001
1583,117.89001
1584,120.94998999999999
1585,106.81
1587,109.56154
1590,114.32
1593,114.98499
1594,115.09024
1596,123.74995
1598,122.65001000000001
1599,122.5
1600,122.64
1604,134.04701
1609,127.34071999999999
1610,129.19945
1613,120.56663
1615,120.68998
1617,107.8
1618,98.47045
1619,104.96851000000001
1620,108.0
1621,108.16201000000001
1622,109.0
1623,100.0
1624,101.96998
1626,100.52521
1627,107.38999
1628,107.835
1630,111.0
1631,109.09
1635,104.40565
1637,96.63498
1638,95.85301
1642,82.8
1647,77.64
1648,76.32791
1649,78.58899
1650,87.15
1653,94.75
1656,97.97
1659,91.8775
1660,88.93999000000001
1661,91.788
1662,95.396
1665,96.39475
1666,95.20461
1667,99.00001
1668,101.04202
1670,104.95555
1674,104.67459000000001
1676,106.88378
1677,105.6
1678,101.9
1679,102.3
1680,102.61802
1683,107.29883999999998
1685,98.28
1688,99.02
1693,107.48
1694,108.79
1695,112.9
1696,111.8
1698,119.25
1699,119.48
1701,132.75
1704,130.45
1705,126.74
1710,121.66
1711,123.39
1712,124.1
1713,128.45
1714,128.29
1715,124.32
1716,125.46
1718,127.56
1719,127.23
1720,124.1
1723,122.78
1724,123.02
1726,124.18
1728,125.6
1731,125.8
1732,127.11
1734,116.95
1735,122.0
1736,121.51
1737,121.6
1738,123.6
1739,123.84
1741,126.43
1745,135.69
1747,141.83
1748,143.33
1752,177.07
1753,191.78
1755,195.78
1756,172.81
1759,196.25
1760,202.09
1761,203.39
1767,246.63
1772,296.91
1773,339.38
1774,353.95
1777,428.24
1779,463.0
1780,583.16
1782,595.0
1784,761.0
1786,833.16
1788,844.9
1789,961.0
1790,1009.0
1791,1083.9
1793,970.0
1798,894.0
1799,727.29
1800,722.99
1803,886.2
1804,845.75
1805,874.0
1806,864.7
1807,848.17
1809,702.05
1810,576.16
1811,653.0
1814,637.0
1815,639.9
1816,647.27
1817,658.07
1818,734.42
1819,715.51
1820,701.61
1821,714.79
1822,739.1
1823,731.0
1824,746.9
1826,806.21
1827,822.38
1830,867.38
1831,825.29
1832,809.17
1833,827.46
1835,851.0
1836,807.83
1837,820.75
1838,847.7
1839,830.9
1844,822.56
1845,813.05
1847,789.1
1848,806.0
1849,826.77
1850,777.0
1853,799.37
1855,815.99
1857,813.8
1858,809.05
1859,800.0
1862,707.0
1863,710.0
1865,670.0
1866,667.01
1869,651.42
1870,623.5
1873,623.93
1875,566.16
1876,603.98
1877,626.77
1879,528.0
1880,585.38
1881,585.17
1882,577.97
1883,571.5
1885,666.5
1887,664.85
1889,621.3
1890,609.0
1892,621.99
1893,622.9
1894,642.1
1898,634.94
1901,608.41
1904,557.0
1905,567.13
1907,580.02
1909,520.2
1911,499.94
1913,457.0
1914,479.51
1915,445.0
1916,446.31
1917,446.01
1919,459.67
1921,454.07
1922,443.1
1923,401.0
1932,499.9
1933,500.19
1934,496.5
1936,487.3
1938,459.15
1939,463.88
1940,440.1
1941,447.0
1944,460.01
1946,434.5
1954,435.0
1955,441.5
1957,447.49
1959,449.51
1960,449.08
1961,447.14
1963,485.01
1965,523.84
1966,527.47
1967,521.52
